validation_epoch_year,training_span,feature,gain_importance,split_count,normalized_weight
2025,2020-2024,pressure_kpa,902.1933819027618,298,0.0013896145096648708
2025,2020-2024,solar_rad,232543.3313731784,678,0.35817774091896787
2025,2020-2024,precip,770.4840880762786,177,0.001186747641618258
2025,2020-2024,soil_moisture,14709.683701084927,810,0.022656772166182414
2025,2020-2024,ndvi,120221.3222112488,924,0.1851723777484468
2025,2020-2024,temp_c_lag1,60.80964027903974,277,9.366280018706964e-05
2025,2020-2024,precip_lag1,8.522488983348012,61,1.3126869014204146e-05
2025,2020-2024,ndvi_lag1,8595.218526273966,299,0.013238891591800589
2025,2020-2024,soil_moisture_lag1,217.79448080062866,269,0.000335460641494819
2025,2020-2024,temp_c_lag4,18517.93891479075,533,0.028522484337902682
2025,2020-2024,soil_moisture_lag4,58.30851493496448,196,8.981041095618507e-05
2025,2020-2024,temp_c_roll24h,33731.936942946166,468,0.0519560328808426
2025,2020-2024,solar_rad_roll24h,3753.2735452130437,332,0.00578102597712415
2025,2020-2024,soil_moisture_roll24h,5983.813463509083,302,0.009216642660892891
2025,2020-2024,precip_cum48h,37.464917719364166,138,5.77058026699648e-05
2025,2020-2024,sin_hour,2070.66369927302,62,0.0031893653609800627
2025,2020-2024,cos_hour,62626.12929674424,125,0.09646066985257902
2025,2020-2024,sin_doy,877.6625902038068,347,0.0013518306544934432
2025,2020-2024,cos_doy,20805.885378479026,400,0.032046522162889
