datetime,year,month,day,hour,region,station_node,latitude,longitude,elevation_m,temp_c,dewpoint_c,vpd_kpa,rh_pct,solar_rad,pressure_kpa,u_wind_10m,v_wind_10m,wind_speed,precip,p_eff_mm,soil_moisture_layer1,soil_moisture_layer2,soil_moisture_layer3,soil_moisture_root,soil_moisture,ndvi,kc_dynamic,modis_et_mm,et0_fao56_mm,et_crop_mm,et_green_mm,et_blue_mm,crop_yield_ton_ha,cwf_green_m3_ton,cwf_blue_m3_ton,cwf_total_m3_ton
2020-07-16 12:00:00,2020,7,16,12,kolhapur,Kagal_Dudhganga,16.58,74.32,565.0,22.404275512695335,21.850259399414085,0.08989010365594963,96.68272473793228,3.285024,93.502453125,2.8588714599609375,1.96044921875,3.4664834002020934,22.936195135116577,19.49576586484909,0.4646759033203125,0.48223876953125,0.517608642578125,0.5064756774902344,0.5064756774902344,0.3369787714830382,0.5940532596009707,1.6470336490792419,0.5176483125908038,0.3075106674215092,0.3075106674215092,0.0,105.0,0.02928673023061992,0.0,0.02928673023061992
2020-07-16 12:00:00,2020,7,16,12,kolhapur,Karveer_Panchganga,16.7,74.3,570.0,22.414041137695335,21.867837524414085,0.08868689271528396,96.72906855381999,3.15002,93.361453125,2.6987152099609375,1.96923828125,3.3408027767012767,23.84987473487854,20.27239352464676,0.5125274658203125,0.489715576171875,0.5142364501953125,0.5089674377441405,0.5089674377441405,0.46905484467239955,0.781161029952566,1.616566216936385,0.501179995004223,0.39150228108912066,0.39150228108912066,0.0,105.0,0.03728593153229721,0.0,0.03728593153229721
2020-07-16 12:00:00,2020,7,16,12,kolhapur,Radhanagari_Bhogavati,16.42,74.05,610.0,21.982400512695335,21.670571899414085,0.049789830993347106,98.11476728241276,2.746402,93.883453125,2.8842620849609375,1.71533203125,3.3557907789633528,27.463391423225403,23.343882709741592,0.4699554443359375,0.495147705078125,0.486175537109375,0.48692428588867187,0.48692428588867187,0.607292804072729,0.9769981391030327,1.507045049079242,0.4287105196560398,0.418849379917845,0.418849379917845,0.0,105.0,0.03989041713503286,0.0,0.03989041713503286
2020-07-16 12:00:00,2020,7,16,12,kolhapur,Shirol_Hatkanangle,16.75,74.45,550.0,22.511697387695335,21.947915649414085,0.09197467561860684,96.62787049307026,3.626064,93.449453125,2.7211761474609375,2.10498046875,3.440311381158589,22.812992334365845,19.391043484210968,0.5167694091796875,0.473602294921875,0.51446533203125,0.5060453796386719,0.5060453796386719,0.5681325901246854,0.9215211693433043,1.7292825240792422,0.5732868285784057,0.5282959486406869,0.5282959486406869,0.0,105.0,0.050313899870541606,0.0,0.050313899870541606
2020-07-16 15:00:00,2020,7,16,15,kolhapur,Kagal_Dudhganga,16.58,74.32,565.0,22.01740417480471,21.22022399902346,0.12589022340693123,95.24353322475248,3.377356,93.62941796875,3.57843017578125,2.1812591552734375,4.190829753808429,26.551240682596955,22.56855458020741,0.4867401123046875,0.467498779296875,0.5147552490234375,0.5028703308105469,0.5028703308105469,0.33441382837671746,0.5904195902003497,1.6526632527064742,0.5064159999678011,0.29899792717188944,0.29899792717188944,0.0,105.0,0.02847599306398947,0.0,0.02847599306398947
2020-07-16 15:00:00,2020,7,16,15,kolhapur,Karveer_Panchganga,16.7,74.3,570.0,21.98420104980471,21.17139587402346,0.12807713476293303,95.15110343724655,3.23132,93.49141796875,3.46514892578125,2.0670013427734375,4.034817421999432,28.058731555933747,23.849921822543685,0.464813232421875,0.5140228271484375,0.513671875,0.5103254699707032,0.5103254699707032,0.5084610958606673,0.8369865524692787,1.6179554705636172,0.4899376306736207,0.4100712084224805,0.4100712084224805,0.0,105.0,0.039054400802141,0.0,0.039054400802141
2020-07-16 15:00:00,2020,7,16,15,kolhapur,Radhanagari_Bhogavati,16.42,74.05,610.0,21.81623229980471,21.19678649902346,0.09723482662118776,96.28084781671787,2.84352,93.99941796875,3.35577392578125,2.1197357177734375,3.969193640294937,31.11549615859488,26.448171734805648,0.4564056396484375,0.49774169921875,0.4886322021484375,0.4882893371582031,0.4882893371582031,0.6021796245916081,0.9697544681714447,1.522596720563617,0.4285372462254031,0.4155759093049713,0.4155759093049713,0.0,105.0,0.03957865802904488,0.0,0.03957865802904488
2020-07-16 15:00:00,2020,7,16,15,kolhapur,Shirol_Hatkanangle,16.75,74.45,550.0,22.10334167480471,21.20069274902346,0.14280131180130073,94.63276680305476,3.715702,93.58341796875,3.43682861328125,2.1812591552734375,4.070587478427765,27.69106030463675,23.537401258941237,0.4936065673828125,0.4936370849609375,0.5140380859375,0.5083236694335938,0.5083236694335938,0.5783708586999756,0.9360253831582988,1.7334369812779027,0.5630341318727868,0.5270142390174254,0.5270142390174254,0.0,105.0,0.050191832287373846,0.0,0.050191832287373846
2020-07-16 18:00:00,2020,7,16,18,kolhapur,Kagal_Dudhganga,16.58,74.32,565.0,21.96918640136721,21.409967041015648,0.08864299613842341,96.64096309868549,3.377356,93.750359375,2.9605865478515625,2.3811492919921875,3.799334765202262,27.88048386573294,23.698411285873,0.492462158203125,0.469970703125,0.5132598876953125,0.5027133178710937,0.5027133178710937,0.3491403475110151,0.611282158973938,1.650734541768974,0.5144252875239951,0.31445900038845653,0.31445900038845653,0.0,105.0,0.029948476227472053,0.0,0.029948476227472053
2020-07-16 18:00:00,2020,7,16,18,kolhapur,Karveer_Panchganga,16.7,74.3,570.0,21.92817077636721,21.366998291015648,0.08875342601265057,96.62835671958582,3.23132,93.613359375,2.8180084228515625,2.3303680419921875,3.656745367454624,29.593908786768708,25.1548224687534,0.446075439453125,0.469451904296875,0.5153656005859375,0.5008734130859375,0.5008734130859375,0.4931445488121994,0.8152881108172825,1.6157142596261171,0.4970289329856867,0.40522177979543017,0.40522177979543017,0.0,105.0,0.03859255045670763,0.0,0.03859255045670763
2020-07-16 18:00:00,2020,7,16,18,kolhapur,Radhanagari_Bhogavati,16.42,74.05,610.0,21.86762390136721,21.560357666015648,0.048767830376537535,98.14049249551022,2.84352,94.108359375,2.5660552978515625,2.0686492919921875,3.2960506192854275,32.90441036223868,27.968748807902877,0.4689483642578125,0.4905853271484375,0.4897308349609375,0.4884555053710937,0.4884555053710937,0.6201933545138953,0.995273918894685,1.524652384626117,0.4437895672752678,0.4416921817866322,0.4416921817866322,0.0,105.0,0.042065922074917356,0.0,0.042065922074917356
2020-07-16 18:00:00,2020,7,16,18,kolhapur,Shirol_Hatkanangle,16.75,74.45,550.0,21.96137390136721,21.324029541015648,0.10077519718531525,96.17941140967883,3.715702,93.704359375,2.7340240478515625,2.3567352294921875,3.6095828617944536,29.30810451507071,24.911888837810103,0.5001373291015625,0.4951934814453125,0.513153076171875,0.5084704589843749,0.5084704589843749,0.6039018503517426,0.9721942879983019,1.7277582703404026,0.573398298644437,0.5574545506900661,0.5574545506900661,0.0,105.0,0.053090909589530104,0.0,0.053090909589530104
2020-07-16 21:00:00,2020,7,16,21,kolhapur,Kagal_Dudhganga,16.58,74.32,565.0,22.066812133789085,21.275964355468773,0.12524116617216574,95.28228029991782,3.377356,93.48415234375,3.7003173828125,1.974151611328125,4.193998488084346,29.30074334144095,24.905631840224807,0.5014801025390625,0.471710205078125,0.5121002197265625,0.5028749084472656,0.5028749084472656,0.33499850546146615,0.5912478827370771,1.6546395710658492,0.507215924983623,0.2998903417370952,0.2998903417370952,0.0,105.0,0.028560984927342402,0.0,0.028560984927342402
2020-07-16 21:00:00,2020,7,16,21,kolhapur,Karveer_Panchganga,16.7,74.3,570.0,21.980874633789085,21.305261230468773,0.1068288242354698,95.95472077022767,3.23132,93.35115234375,3.4327392578125,1.901885986328125,3.924394108281993,31.019711494440827,26.366754770274703,0.46234130859375,0.4689178466796875,0.51373291015625,0.5007243347167969,0.5007243347167969,0.4976988373638709,0.8217400195988169,1.6178224139229922,0.49148444418116,0.4038724367939401,0.4038724367939401,0.0,105.0,0.03846404159942286,0.0,0.03846404159942286
2020-07-16 21:00:00,2020,7,16,21,kolhapur,Radhanagari_Bhogavati,16.42,74.05,610.0,21.928140258789085,21.107995605468773,0.12882196966584125,95.10620565168914,2.84352,93.83615234375,4.0880126953125,1.996612548828125,4.5495394785817735,37.435138225550446,31.81986749171788,0.505523681640625,0.49755859375,0.488067626953125,0.4912826538085937,0.4912826538085937,0.6120646368152608,0.983758235488286,1.527073038922992,0.4183661351270515,0.411571130880642,0.411571130880642,0.0,105.0,0.03919725056006114,0.0,0.03919725056006114
